GVIL_CODE,VILLAGE_NM,DIST_NAME,DISTRICT_CODE,PS_NAME,BLOCK_CODE,GP_NAME,GP_CODE
17674,toga,jaisalmer,,sam,,kapuriya,
32168,maikna,karauli,,sapotra,,dhoreta,
32312,kalyan pura,tonk,,tonk,,chogai,
32356,rajpura,ajmer,119,srinagar,811909,kanpura,811909210
32327,chand sen,tonk,,malpura,,diggi,
32276,gothra,sawai madhopur,108,bonli,810802,moran,810802320
17707,legon ki dhani,jodhpur,113,balesar,811301,bawarli,811301050
32307,sidra,tonk,,niwai,,khandewat,
32277,khirkhari,sawai madhopur,108,bonli,810802,kushalpura,810802250
32287,kantoli,tonk,,niwai,,teetoli @ bara gaon,
32373,jajiwal vishnoiyan,jodhpur,113,mandor,811310,jajiwal kalan,811310140
6,makrera,ajmer,,peesangan,,bhanwta,
32303,jugalpura kalan,tonk,,niwai,,chainpura,
32308,shyosinghpura @ keriya,tonk,,niwai,,khandewat,
32354,jheerota,ajmer,119,arain,811901,dhasook,811901110
32380,bassi@chainpura,pali,,jaitaran,,bhoombaliya,
32259,kazi kundli,sawai madhopur,108,bamanwas,810801,batoda,810801060
17680,kalijal,jaisalmer,,sam,,mandai,
32273,chak shahpura,sawai madhopur,108,bonli,810802,jastana,810802180
32258,bhinora,sawai madhopur,108,bamanwas,810801,jeewad,810801180
32381,jaspali,jodhpur,,bilara,,riyan,
32198,needar,karauli,,sapotra,,needar,
32383,pratappura,pali,,jaitaran,,lambiya,
32245,peelodapura,karauli,107,sapotra,810705,looloj,810705290
32326,fazalpura,tonk,,niwai,,dangarthal,
17704,baghthal,jaisalmer,,sankra,,bhurajgarh,
32218,bijaude ki guwari,karauli,,sapotra,,bahadarpur,
32385,balupura,pali,,jaitaran,,bhoombaliya,
17685,negrada,jaisalmer,,sam,,mandai,
32337,ahmedganj,tonk,,tonk,,banwara,
32382,gujrawas khurd,jodhpur,113,mandor,811310,surpura,811310350
32330,sawai jaisinghpura,tonk,,niwai,,dangarthal,
32343,bor khandi kalan,tonk,,tonk,,chogai,
17710,jalam nagar,jodhpur,,balesar,,dhadhaniya sasan,
32388,anawas,jodhpur,,bilara,,rawniyana,
32387,jatiyawas,jodhpur,,bhopalgarh,,bara kalan,
32321,govindpura,tonk,,niwai,,,
32358,sadarpura,tonk,120,malpura,812002,deshma,812002090
32206,ghatooli,karauli,,sapotra,,dhoreta,
32252,hariya ka mandir,karauli,107,sapotra,810705,looloj,810705290
32391,bhatsoori,ajmer,,peesangan,,pagara,
32320,bhagwanpura,tonk,,niwai,,chainpura,
32390,akthali,jodhpur,113,mandor,811310,jajiwal kalan,811310140
17690,bisoo khurd,barmer,115,sheo,811515,bhiyar,811515050
32290,barh bariyara chak no.2,sawai madhopur,,bonli,,neemod,
17709,hanawant nagar,jodhpur,113,shergarh,811315,tena,811315330
17713,doodabera,jodhpur,,balesar,,balesar satan,
32286,barh goth,sawai madhopur,108,bamanwas,810801,goth,810801160
32339,ismailpura,tonk,,niwai,,dangarthal,
32224,doylepura,karauli,,sapotra,,bugdar,
32285,barh jharoda,sawai madhopur,108,bamanwas,810801,jeewad,810801180
32212,gopalpur,karauli,,sapotra,,dhoreta,
17696,roopa sariya,barmer,115,sheo,811515,bhiyar,811515050
32268,masawata,sawai madhopur,,gangapur,,narayanpur,
32392,anganwa,jodhpur,113,mandor,811310,surpura,811310350
7,dilwari,ajmer,,srinagar,,danta,
32247,kailadevi,karauli,107,karauli,810702,lauhra,810702260
17708,dhandhupura,jaisalmer,,sankra,,bhurajgarh,
32296,phalsawata,sawai madhopur,108,bamanwas,810801,goth,810801160
32378,dadawat,tonk,120,malpura,812002,kacholiya,812002160
17719,dhadhaniya barda,jodhpur,,balesar,,belwa,
32279,narauli,sawai madhopur,,gangapur,,narayanpur,
32395,litariya,pali,,jaitaran,,digarna,
32291,jharoda,sawai madhopur,108,bamanwas,810801,batoda,810801060
32260,gothra,karauli,107,karauli,810702,gerai,810702090
32397,khejarla,jodhpur,,bilara,,rawniyana,
17700,jiyaniyon ki basti,barmer,115,sheo,811515,bhiyar,811515050
9,kaklana,ajmer,,peesangan,,daurai (rural),
32357,azampura,tonk,,tonk,,loharwara,
17706,kasoom bala mahechan,jaisalmer,,sankra,,balar,
17695,chak goonga,barmer,,sheo,,rajral,
32400,bassi,pali,,jaitaran,,lambiya,
32280,jakhoda,karauli,107,sapotra,810705,bhartoon,810705090
